tempo,tensao,forca
68.1,0.000000,0.417000
68.2,0.000000,0.364000
68.3,0.000000,0.297500
68.4,0.000000,0.260000
68.5,0.000000,0.238000
68.7,0.000000,0.180333
68.8,0.000000,0.102000
68.9,0.000000,0.050000
69.0,0.000000,0.035000
69.1,0.000000,0.032000
69.2,0.000000,0.014000
69.3,0.000000,0.008000
69.4,0.000000,0.007000
69.5,0.000000,0.005000
69.7,0.000000,0.000000
69.8,0.000000,0.000000
69.9,0.000000,0.000000
70.1,0.000000,0.000000
70.2,0.000000,0.000000
70.3,0.000000,0.000000
70.4,0.000000,0.000000
70.5,0.000000,0.000000
70.7,0.000000,0.000000
70.8,0.000000,0.000000
70.9,0.000000,0.000000
71.0,0.000000,0.000000
71.2,0.000000,0.000000
71.3,0.000000,0.000000
71.4,0.000000,0.000000
71.5,0.000000,0.000000
71.6,0.000000,0.000000
71.7,0.000000,0.000000
71.8,0.000000,0.000000
71.9,0.000000,0.000000
72.0,0.000000,0.000000
72.2,0.000000,0.000000
72.3,0.000000,0.000000
72.4,0.000000,0.000000
72.5,0.000000,0.000000
72.6,0.000000,0.000000
72.7,0.000000,0.000000
72.8,0.000000,0.000000
72.9,0.000000,0.000000
73.0,0.000000,0.000000
73.2,0.000000,0.000000
73.3,0.000000,0.000000
73.5,0.000000,0.000000
73.6,0.000000,0.000000
73.7,0.000000,0.000000
73.8,0.000000,0.000000
73.9,0.000000,0.000000
74.1,0.000000,0.000000
74.2,0.000000,0.000000
74.3,0.000000,0.000000
74.4,0.000000,0.000000
74.6,0.000000,0.000000
74.7,0.000000,0.000000
74.8,0.000000,0.000000
74.9,0.000000,0.000000
75.0,0.000000,0.000000
75.1,0.000000,0.000000
75.2,0.000000,0.000000
75.3,0.000000,0.000000
75.4,0.000000,0.000000
75.6,0.000000,0.000000
75.7,0.000000,0.000000
75.8,0.000000,0.000000
76.0,0.000000,0.000000
76.1,0.000000,0.000000
76.2,0.000000,0.000000
76.3,0.000000,0.000000
76.5,0.000000,0.000000
76.6,0.000000,0.000000
76.7,0.000000,0.000000
76.8,0.000000,0.000000
76.9,0.000000,0.000000
77.1,0.000000,0.000000
77.2,0.000000,0.000000
77.3,0.000000,0.000000
77.4,0.000000,0.000000
#MODEL,rational_q
#COEFFICIENTS,-0.02575440893201492,0.4979401324471152,-0.147517446095243,0.4154672086073297
