tempo,tensao,forca
57.6,2.908371,0.930500
57.7,2.927093,0.918000
57.8,2.938546,0.866333
57.9,2.954637,0.801000
58.0,2.936159,0.813000
58.1,2.933080,0.800000
58.2,2.920770,0.799500
58.3,2.912692,0.838000
58.5,2.885673,0.841000
58.6,2.815709,0.815000
58.7,2.811427,0.797000
58.9,2.800714,0.768500
59.0,2.762678,0.735000
59.1,2.775670,0.690000
59.2,2.803917,0.648000
59.3,2.801959,0.687000
59.5,2.826495,0.622667
59.6,2.824124,0.635000
59.7,2.831031,0.674000
59.8,2.837758,0.701000
60.0,2.819439,0.705000
60.1,2.819860,0.715500
60.2,2.827465,0.694000
60.3,2.769366,0.697000
60.4,2.764683,0.713000
60.5,2.773671,0.674500
60.6,2.761835,0.688000
60.7,2.735918,0.726500
60.8,2.721479,0.700000
61.0,2.672685,0.642000
61.1,2.575671,0.617000
61.2,2.536418,0.592000
61.3,2.536418,0.599000
61.4,2.559104,0.593000
61.5,2.582276,0.566000
61.6,2.623069,0.528500
61.7,2.638267,0.510000
61.8,2.644134,0.509000
62.0,2.676033,0.519000
62.1,2.664504,0.544000
62.2,2.633626,0.571000
62.4,2.605907,0.569000
62.5,2.603977,0.594000
62.6,2.595994,0.578000
62.7,2.573999,0.549000
62.8,2.493500,0.532000
63.0,2.524187,0.526000
63.1,2.524187,0.519000
63.2,2.368547,0.527000
63.3,2.424637,0.501000
63.5,2.483659,0.485000
63.6,2.343415,0.460000
63.7,2.335854,0.422000
63.9,2.399482,0.483500
64.0,2.329870,0.458500
64.1,2.267468,0.407000
64.2,2.386867,0.414000
64.3,2.458433,0.440000
64.5,2.454608,0.400000
64.6,2.356152,0.390000
64.7,2.281538,0.407000
64.8,2.265769,0.459000
64.9,2.266442,0.497000
65.0,2.108221,0.453667
65.1,2.082055,0.402000
65.2,2.058014,0.383000
65.3,1.984503,0.380000
65.5,1.934313,0.357500
65.6,1.972156,0.358000
65.7,2.100539,0.360500
65.9,2.095135,0.354000
66.0,2.048784,0.339000
66.1,2.129696,0.354000
66.2,2.174924,0.380000
66.3,2.188731,0.389000
66.5,2.211091,0.346000
66.6,2.017773,0.371000
66.7,1.941943,0.384000
66.8,1.905972,0.393000
67.0,1.843993,0.393000
67.1,1.978498,0.380500
67.2,2.034625,0.356000
67.3,2.088656,0.361000
67.4,2.094328,0.342000
67.5,2.057164,0.338000
67.6,1.829291,0.364000
67.7,1.822323,0.358000
67.8,1.708081,0.361000
68.0,1.674520,0.339000
68.1,1.523630,0.324000
68.2,1.501815,0.325000
68.3,1.565908,0.306000
68.4,1.716477,0.311000
68.5,1.681619,0.306000
68.6,1.835405,0.280000
68.7,1.986351,0.285000
68.8,1.984088,0.288000
69.0,1.921022,0.307000
69.1,1.756378,0.333000
69.2,1.686594,0.356000
69.4,1.698297,0.347000
69.5,1.579149,0.330000
69.6,1.477287,0.347000
69.7,1.426822,0.321000
69.8,1.334205,0.309000
70.0,1.506776,0.289500
70.1,1.506694,0.278000
70.2,1.529173,0.286000
70.3,1.584793,0.260000
70.5,1.606198,0.280000
70.6,1.594050,0.289000
70.7,1.582025,0.294000
70.8,1.575506,0.292000
70.9,1.522753,0.307000
71.0,1.385688,0.312000
71.1,1.136422,0.291000
71.2,0.948211,0.292000
71.3,1.007276,0.291000
71.5,1.144319,0.297000
71.6,1.308580,0.271000
71.7,1.079645,0.253000
71.8,1.169822,0.254000
71.9,1.249911,0.245000
72.0,1.144956,0.251000
72.1,1.133739,0.250000
72.2,1.088435,0.258000
72.3,0.999609,0.260000
72.5,1.017402,0.261000
72.6,0.860925,0.286000
72.8,0.650231,0.257000
72.9,0.522558,0.264000
73.0,0.670639,0.271000
73.1,0.970160,0.265000
73.2,1.230080,0.263000
73.3,1.702520,0.237000
73.5,1.984065,0.242000
73.6,1.838516,0.250000
73.7,1.724258,0.288000
73.8,1.433565,0.340000
74.0,1.113391,0.433000
74.1,1.008348,0.397000
74.2,0.727087,0.345500
74.3,0.239272,0.325500
74.4,0.119636,0.305500
74.5,0.059818,0.268000
74.6,0.014954,0.284000
74.7,0.003739,0.270000
74.8,0.000935,0.231500
75.0,0.000234,0.199000
75.1,0.000058,0.193000
75.2,0.000015,0.172000
75.3,0.000007,0.160000
75.4,0.000002,0.180000
75.5,0.000000,0.170000
75.6,0.000000,0.170000
75.7,0.000000,0.165000
75.8,0.000000,0.160000
76.0,0.000000,0.146000
76.1,0.000000,0.120000
76.3,0.000000,0.060500
76.4,0.000000,0.023000
76.5,0.000000,0.013000
76.6,0.000000,0.008000
76.7,0.000000,0.010000
76.8,0.000000,0.000000
77.0,0.000000,0.000000
77.1,0.000000,0.000000
77.2,0.000000,0.000000
77.3,0.000000,0.000000
77.5,0.000000,0.000000
77.6,0.000000,0.000000
77.7,0.000000,0.000000
77.8,0.000000,0.000000
77.9,0.000000,0.000000
78.0,0.000000,0.000000
78.1,0.000000,0.000000
78.2,0.000000,0.000000
78.3,0.000000,0.000000
78.5,0.000000,0.000000
78.6,0.000000,0.000000
78.7,0.000000,0.000000
78.8,0.000000,0.000000
78.9,0.000000,0.000000
79.0,0.000000,0.000000
79.1,0.000000,0.000000
79.2,0.000000,0.000000
79.3,0.000000,0.000000
79.5,0.000000,0.000000
79.7,0.000000,0.000000
79.8,0.000000,0.000000
79.9,0.000000,0.000000
80.0,0.000000,0.000000
80.1,0.000000,0.000000
80.2,0.000000,0.000000
80.3,0.000000,0.000000
80.4,0.000000,0.000000
80.5,0.000000,0.000000
80.7,0.000000,0.000000
80.8,0.000000,0.000000
80.9,0.000000,0.000000
81.0,0.000000,0.000000
81.2,0.000000,0.000000
81.3,0.000000,0.000000
81.4,0.000000,0.000000
81.5,0.000000,0.000000
81.7,0.000000,0.000000
#MODEL,rational_q
#COEFFICIENTS,-0.2037977799047528,0.8700569836874243,-1.950209596830602,6.579563189156649
